rank,team,G,W,L,D,WPCT,差,首位差,残試合,貯金,連勝連敗,RS,RS_avg,RA,RA_avg,RD,AVG,HR,SB,ERA,league,year
6,日本ハム,143,59,81,3,0.421,9.0,16.5,0,-22,○ 1,463,3.24,534,3.73,-71,0.234,100,95,3.46,PL,2022
1,阪神,143,85,53,5,0.616,優勝,-,0,32,● 1,555,3.88,424,2.97,131,0.247,84,79,2.66,CL,2023
2,広島,143,74,65,4,0.532,11.5,11.5,0,9,● 1,493,3.45,508,3.55,-15,0.246,96,78,3.2,CL,2023
3,DeNA,143,74,66,3,0.529,0.5,12.0,0,8,● 1,520,3.64,496,3.47,24,0.247,105,33,3.16,CL,2023
4,巨人,143,71,70,2,0.504,3.5,15.5,0,1,○ 3,523,3.66,507,3.55,16,0.252,164,48,3.39,CL,2023
5,ヤクルト,143,57,83,3,0.407,13.5,29.0,0,-26,○ 1,534,3.73,567,3.97,-33,0.239,123,62,3.66,CL,2023
6,中日,143,56,82,5,0.406,0.0,29.0,0,-26,● 2,390,2.73,498,3.48,-108,0.234,71,36,3.08,CL,2023
1,オリックス,143,86,53,4,0.619,優勝,-,0,33,○ 2,508,3.55,428,2.99,80,0.25,109,52,2.73,PL,2023
2,ロッテ,143,70,68,5,0.5072,15.5,15.5,0,2,○ 1,505,3.53,524,3.66,-19,0.239,100,73,3.4,PL,2023
3,ソフトバンク,143,71,69,3,0.5071,0.0,15.5,0,2,● 1,536,3.75,507,3.55,29,0.248,104,73,3.27,PL,2023
4,楽天,143,70,71,2,0.496,1.5,17.0,0,-1,● 1,513,3.59,556,3.89,-43,0.244,104,102,3.52,PL,2023
5,西武,143,65,77,1,0.458,5.5,22.5,0,-12,○ 1,435,3.04,465,3.25,-30,0.233,90,80,2.93,PL,2023
6,日本ハム,143,60,82,1,0.423,5.0,27.5,0,-22,● 2,464,3.24,496,3.47,-32,0.231,100,75,3.08,PL,2023
1,巨人,143,77,59,7,0.566,優勝,-,0,18,○ 1,462,3.23,381,2.66,81,0.247,81,59,2.49,CL,2024
2,阪神,143,74,63,6,0.54,3.5,3.5,0,11,○ 1,485,3.39,420,2.94,65,0.242,67,41,2.5,CL,2024
