ERA,WHIP,W,L,SV,SO,BB,HBP,HRA,BF,player,team,IP,target_year,age,data_years
2.86,1.17,2.5,2.1,0.8,34.9,10.6,1.0,2.7,172.9,平良　拳太郎,DeNA,42.4,2026,30,2
2.93,1.18,2.8,2.9,8.9,40.8,14.6,1.8,3.7,199.3,田中　正義,日本ハム,48.2,2026,31,2
2.87,1.18,3.2,2.6,0.9,37.0,15.8,2.7,2.7,187.7,津森　宥紀,ソフトバンク,45.0,2026,28,2
2.79,1.13,1.3,1.3,0.5,16.3,6.8,1.0,1.3,93.6,中森　俊介,ロッテ,22.4,2026,23,2
3.02,1.23,6.6,6.2,1.4,76.0,28.2,5.5,6.8,486.6,西　勇輝,阪神,117.7,2026,35,2
3.31,1.29,1.7,1.9,0.7,25.4,9.1,1.0,2.6,138.7,祖父江　大輔,中日,33.5,2026,38,2
3.17,1.19,6.7,10.2,1.6,109.2,35.5,4.6,10.6,628.5,小笠原　慎之介,中日,151.3,2026,28,2
2.65,1.15,4.3,2.4,1.2,40.2,15.1,2.3,3.4,236.8,大西　広樹,ヤクルト,58.0,2026,28,2
2.95,1.19,0.3,0.3,0.1,3.9,1.5,0.2,0.3,20.8,本前　郁也,ロッテ,5.0,2026,28,1
2.83,1.2,6.7,8.0,1.6,104.7,42.4,4.1,9.2,592.4,大瀬良　大地,広島,144.1,2026,34,2
4.13,1.37,3.3,4.2,1.0,48.4,17.3,3.0,4.2,261.7,ポンセ,楽天,60.4,2026,31,2
3.97,1.36,5.2,7.5,1.5,96.4,34.9,4.4,12.5,539.7,サイスニード,ヤクルト,126.4,2026,33,2
3.38,1.2,2.2,3.5,0.9,33.3,14.9,1.9,4.2,205.6,與座　海人,西武,49.5,2026,30,2
3.24,1.24,2.1,3.2,11.4,38.7,13.9,1.9,3.7,193.5,益田　直也,ロッテ,46.7,2026,36,2
3.05,1.26,0.8,0.7,0.4,11.5,4.8,0.5,0.8,59.7,ケムナ　誠,広島,14.3,2026,30,2
2.99,1.24,0.8,0.8,0.4,12.3,5.2,0.7,1.2,70.6,今野　龍太,ヤクルト,16.9,2026,30,2
3.11,1.26,0.7,0.7,0.4,11.8,4.8,0.6,0.9,65.6,今村　信貴,巨人,15.7,2026,32,2
3.48,1.25,3.2,4.0,1.0,36.4,15.5,1.7,4.1,244.0,瀧中　瞭太,楽天,58.9,2026,31,2
3.03,1.21,2.0,1.7,0.7,24.8,11.3,1.3,2.7,146.4,西　純矢,阪神,34.8,2026,24,2
2.68,1.16,4.4,5.7,1.2,71.0,23.1,2.0,3.8,339.6,曽谷　龍平,オリックス,82.0,2026,25,2
3.38,1.25,1.1,1.2,0.5,15.3,7.2,0.6,1.2,88.6,松井　友飛,楽天,21.0,2026,26,2
3.06,1.24,0.8,0.9,0.4,13.0,5.2,0.6,1.0,68.1,椎野　新,ソフトバンク,16.3,2026,30,1
3.03,1.15,0.4,0.4,0.2,6.6,2.4,0.3,0.5,33.9,宮城　滝太,DeNA,8.1,2026,25,2
2.9,1.14,0.7,0.8,0.4,10.9,4.5,0.5,1.0,58.0,直江　大輔,巨人,14.0,2026,25,1
3.23,1.27,2.2,2.4,1.1,36.2,14.6,1.8,2.6,191.9,武田　翔太,ソフトバンク,46.0,2026,32,1
2.86,1.15,3.1,3.3,1.0,34.8,15.7,1.9,3.7,215.8,横川　凱,巨人,52.5,2026,25,2
2.82,1.2,1.2,1.4,0.6,18.6,7.2,0.8,2.0,103.8,平内　龍太,巨人,24.9,2026,27,2
3.47,1.27,3.3,4.5,1.1,54.7,18.6,2.4,6.0,285.9,石田　健大,DeNA,68.9,2026,33,2
3.58,1.35,4.5,6.9,1.3,69.3,27.2,2.7,6.1,401.9,涌井　秀章,中日,96.1,2026,39,2
