player,team,IP,marcel_ERA,stan_ERA,bayes_ERA,bayes_ERA_lo80,bayes_ERA_hi80,bayes_ERA_lo95,bayes_ERA_hi95,stan_delta,method
宮西　尚生,日本ハム,22.7,3.21,3.23,3.14,1.04,5.31,0.0,6.48,0.0174,bma_jpn
松本　裕樹,ソフトバンク,48.4,2.53,2.76,2.47,0.57,4.84,0.0,6.01,0.2294,bma_jpn
西野　勇士,ロッテ,90.7,3.2,3.54,3.57,1.35,5.62,0.22,6.78,0.3362,bma_jpn
阿部　翔太,オリックス,22.7,3.0,3.12,3.03,0.94,5.2,0.0,6.37,0.1249,bma_jpn
岩貞　祐太,阪神,23.8,2.97,3.16,3.0,0.97,5.24,0.0,6.41,0.1877,bma_jpn
船迫　大雅,巨人,40.2,2.85,3.02,2.86,0.83,5.1,0.0,6.27,0.1722,bma_jpn
入江　大生,DeNA,39.8,2.95,2.9,2.99,0.71,4.98,0.0,6.15,-0.0498,bma_jpn
山﨑　伊織,巨人,151.5,2.55,2.67,2.81,0.48,4.75,0.0,5.92,0.1207,bma_jpn
木澤　尚文,ヤクルト,47.4,2.98,3.02,3.04,0.83,5.1,0.0,6.27,0.0436,bma_jpn
大道　温貴,広島,14.3,3.04,,3.04,,,,,,marcel_only
中﨑　翔太,広島,33.4,2.86,3.11,2.98,0.92,5.19,0.0,6.36,0.2476,bma_jpn
グリフィン,巨人,101.6,2.69,2.77,2.61,0.58,4.85,0.0,6.01,0.0766,bma_jpn
上原　健太,日本ハム,43.9,3.39,3.48,3.19,1.29,5.56,0.16,6.72,0.0865,bma_jpn
バウアー,DeNA,132.5,3.77,3.79,3.64,1.6,5.87,0.47,7.03,0.0163,bma_jpn
鈴木　昭汰,ロッテ,32.2,2.74,2.48,2.5,0.29,4.56,0.0,5.72,-0.2637,bma_jpn
杉浦　稔大,日本ハム,24.0,3.09,3.41,3.22,1.22,5.49,0.09,6.66,0.3168,bma_jpn
今永　昇太,DeNA,148.0,3.01,,3.01,,,,,,marcel_only
矢崎　拓也,ヤクルト,38.7,2.88,3.28,2.91,1.09,5.36,0.0,6.53,0.3987,bma_jpn
ティノコ,西武,35.0,3.01,,3.01,,,,,,marcel_only
池田　隆英,日本ハム,29.6,3.06,3.24,3.05,1.05,5.32,0.0,6.49,0.1772,bma_jpn
加藤　貴之,日本ハム,146.0,3.11,3.51,3.54,1.32,5.59,0.2,6.76,0.3999,bma_jpn
根本　悠楓,日本ハム,13.2,3.09,,3.09,,,,,,marcel_only
