AVG,OBP,SLG,OPS,HR,RBI,SB,BB,SO,H,player,team,PA,target_year,age
0.227,0.286,0.307,0.616,1.0,7.9,0.6,5.2,11.7,17.3,川端　慎吾,ヤクルト,76,2025,37
0.213,0.279,0.322,0.628,1.1,5.4,0.7,5.1,11.0,13.7,ウィーラー,巨人,64,2025,38
0.24,0.298,0.345,0.642,1.5,8.6,0.7,7.2,21.5,21.9,渡邉　諒,阪神,101,2025,29
0.238,0.297,0.341,0.628,0.4,1.9,0.3,1.5,4.2,4.6,郡　拓也,巨人,22,2025,26
0.24,0.299,0.332,0.625,0.7,4.0,1.4,3.8,12.1,12.3,三好　大倫,中日,58,2025,27
0.227,0.299,0.317,0.61,0.9,7.3,1.1,8.6,21.8,19.4,廣岡　大志,オリックス,99,2025,27
0.209,0.274,0.298,0.581,0.5,3.8,0.4,3.4,9.6,9.0,後藤　駿太,中日,46,2025,32
0.23,0.274,0.307,0.569,0.5,3.4,0.4,2.7,9.4,10.0,中村　奨成,広島,50,2025,25
0.219,0.286,0.292,0.594,1.0,6.8,1.8,6.8,15.3,17.3,立岡　宗一郎,巨人,83,2025,34
0.234,0.291,0.329,0.626,0.8,4.2,0.9,3.8,10.4,12.1,髙山　俊,阪神,56,2025,31
0.219,0.284,0.308,0.592,0.6,3.4,0.7,3.3,8.9,9.2,北村　拓己,ヤクルト,47,2025,29
0.223,0.279,0.321,0.614,0.9,4.3,0.6,3.6,10.1,11.6,倉本　寿彦,DeNA,54,2025,34
0.235,0.29,0.322,0.611,0.3,1.5,0.7,1.3,3.7,4.1,熊谷　敬宥,阪神,20,2025,29
0.229,0.287,0.319,0.606,0.3,1.6,0.2,1.4,3.6,4.1,石川　亮,オリックス,20,2025,29
0.225,0.289,0.316,0.612,0.4,2.1,0.7,2.3,5.4,6.0,山足　達也,オリックス,29,2025,31
0.237,0.291,0.328,0.613,0.2,1.3,0.2,1.1,3.5,3.5,梅林　優貴,日本ハム,17,2025,27
0.248,0.309,0.345,0.651,0.7,3.7,0.6,3.5,9.6,10.5,八百板　卓丸,巨人,48,2025,28
0.257,0.322,0.359,0.676,5.6,26.1,2.1,22.5,44.8,63.0,郡司　裕也,日本ハム,281,2025,27
